episode,max_tile,episode_reward,episode_steps
640,512,5176,388
641,256,2440,279
642,128,1324,204
643,512,5224,440
644,256,2752,262
645,256,2972,445
646,512,6064,416
647,512,5276,451
648,512,6228,496
649,128,1268,136
650,256,3712,386
651,256,3896,377
652,256,2228,287
653,256,2372,192
654,512,5228,469
655,256,3392,285
656,256,3164,306
657,256,3456,342
658,256,3116,352
659,512,7912,802
660,256,4632,552
661,256,3388,345
662,512,6300,414
663,512,5320,527
664,256,4764,420
665,256,3688,331
666,512,4844,406
667,256,3600,338
668,256,2888,305
669,256,2996,407
670,256,3048,308
671,128,1492,174
672,512,6724,498
673,128,1428,155
674,512,5228,399
675,256,3236,352
676,64,616,94
677,256,2436,386
678,256,2828,264
679,256,3220,324
680,128,1312,206
681,128,972,105
682,256,4112,321
683,128,992,103
684,512,4572,374
685,256,3296,429
686,512,5148,385
687,512,5236,477
688,256,3116,371
689,256,2396,260
690,512,4980,317
691,256,2976,285
692,512,5604,450
693,512,6976,525
694,256,3756,401
695,256,3364,281
696,256,3108,291
697,256,3032,262
698,512,5220,400
699,256,3132,310
700,512,5948,588
701,256,3040,308
702,512,6300,570
703,512,6784,691
704,512,6728,641
705,256,2848,228
706,256,4684,426
707,512,6892,487
708,512,6324,576
709,256,3300,369
710,128,1992,232
711,256,3152,263
712,512,6048,607
713,512,4448,282
714,512,5888,486
715,512,5448,446
716,512,6204,520
717,128,1232,122
718,512,6748,557
719,256,3144,349
720,256,3280,360
721,512,6936,573
722,512,5492,568
723,512,5288,435
724,512,5320,375
725,256,2924,231
726,256,2732,347
727,128,1288,164
728,128,2128,217
729,512,6924,515
730,512,6252,434
731,256,3416,325
732,512,6892,534
733,1024,11772,946
734,512,6868,552
735,128,2108,196
736,512,6916,593
737,512,5568,525
738,512,6344,678
739,512,5352,483
740,256,3104,326
741,512,6324,452
742,128,1508,195
743,128,1380,137
744,256,2932,233
745,256,2848,287
746,256,3012,256
747,512,6224,438
748,128,1396,253
749,256,3008,286
750,512,6368,510
751,256,3004,285
752,512,5200,404
753,256,3184,316
754,512,6860,485
755,256,3272,361
756,512,6740,633
757,256,3144,380
758,256,2804,315
759,128,1612,233
760,512,5212,432
761,256,2280,276
762,512,5204,390
763,256,3212,415
764,512,5404,403
765,512,7024,527
766,512,5156,403
767,512,5072,366
768,512,4824,355
769,256,2560,355
770,256,2980,302
771,512,4456,419
772,256,3364,365
773,512,5256,472
774,256,3272,308
775,512,5756,421
776,256,3380,338
777,256,2688,231
778,256,3004,332
779,512,6760,605
780,256,3224,341
781,512,6156,501
782,128,1724,289
783,128,2232,291
784,64,612,130
785,256,2380,222
786,512,6644,612
787,256,3504,318
788,128,1384,138
789,512,6732,511
790,512,6260,446
791,256,4024,387
792,256,2348,248
793,256,3172,262
794,256,3976,340
795,512,5312,417
796,256,4584,442
797,256,3096,273
798,512,5628,404
799,512,7240,804
800,512,6060,462
801,512,6980,606
802,512,6352,488
803,512,6164,532
804,256,2824,257
805,512,5256,392
806,256,2964,584
807,512,6040,511
808,512,6852,478
809,512,6460,624
810,512,6048,588
811,512,5792,452
812,256,2700,371
813,256,3000,261
814,256,3988,376
815,512,6948,536
816,256,2856,414
817,256,3044,271
818,1024,11580,1009
819,512,6544,747
820,256,3072,287
821,256,3328,467
822,256,2224,189
823,256,2844,238
824,256,4668,622
825,512,9044,743
826,256,2860,312
827,512,6244,473
828,256,2396,228
829,256,2644,384
830,256,2872,267
