episode,episode_steps,episode_reward,max_tile
594,300,2872,256
595,334,3112,256
596,401,4652,512
597,308,3264,256
598,247,2996,256
599,567,6128,512
600,93,616,64
601,275,2560,256
602,137,1284,128
603,422,5368,512
604,707,6796,512
605,277,3044,256
606,271,3224,256
607,231,2128,128
608,537,5524,512
609,275,2924,256
610,147,1364,128
611,210,2332,256
612,292,3108,256
613,159,1408,128
614,329,3468,256
615,339,5152,512
616,278,2952,256
617,273,3160,256
618,243,2748,256
619,494,6124,512
620,387,3956,256
621,243,3020,256
622,606,6948,512
623,241,2384,256
624,283,2680,256
625,344,2952,256
626,380,5156,512
627,179,1352,128
628,501,5288,512
629,154,1756,128
630,249,3072,256
631,290,3036,256
632,349,2988,256
633,277,3180,256
634,284,3032,256
635,198,2352,256
636,306,3024,256
637,585,6876,512
638,428,5280,512
639,389,4572,512
640,388,5176,512
641,279,2440,256
642,204,1324,128
643,440,5224,512
644,262,2752,256
645,445,2972,256
646,416,6064,512
647,451,5276,512
648,496,6228,512
649,136,1268,128
650,386,3712,256
651,377,3896,256
652,287,2228,256
653,192,2372,256
654,469,5228,512
655,285,3392,256
656,306,3164,256
657,342,3456,256
658,352,3116,256
659,802,7912,512
660,552,4632,256
661,345,3388,256
662,414,6300,512
663,527,5320,512
664,420,4764,256
665,331,3688,256
666,406,4844,512
667,338,3600,256
668,305,2888,256
669,407,2996,256
670,308,3048,256
671,174,1492,128
672,498,6724,512
673,155,1428,128
674,399,5228,512
675,352,3236,256
676,94,616,64
677,386,2436,256
678,264,2828,256
679,324,3220,256
680,206,1312,128
681,105,972,128
682,321,4112,256
683,103,992,128
684,374,4572,512
685,429,3296,256
686,385,5148,512
687,477,5236,512
688,371,3116,256
689,260,2396,256
690,317,4980,512
691,285,2976,256
692,450,5604,512
693,525,6976,512
694,401,3756,256
695,281,3364,256
696,291,3108,256
697,262,3032,256
698,400,5220,512
699,310,3132,256
700,588,5948,512
701,308,3040,256
702,570,6300,512
703,691,6784,512
704,641,6728,512
705,228,2848,256
706,426,4684,256
707,487,6892,512
708,576,6324,512
709,369,3300,256
710,232,1992,128
711,263,3152,256
712,607,6048,512
713,282,4448,512
714,486,5888,512
715,446,5448,512
716,520,6204,512
717,122,1232,128
718,557,6748,512
719,349,3144,256
720,360,3280,256
721,573,6936,512
722,568,5492,512
723,435,5288,512
724,375,5320,512
725,231,2924,256
726,347,2732,256
727,164,1288,128
728,217,2128,128
729,515,6924,512
730,434,6252,512
731,325,3416,256
732,534,6892,512
733,946,11772,1024
734,552,6868,512
735,196,2108,128
736,593,6916,512
737,525,5568,512
738,678,6344,512
739,483,5352,512
740,326,3104,256
741,452,6324,512
742,195,1508,128
743,137,1380,128
744,233,2932,256
745,287,2848,256
746,256,3012,256
747,438,6224,512
748,253,1396,128
749,286,3008,256
750,510,6368,512
751,285,3004,256
752,404,5200,512
753,316,3184,256
754,485,6860,512
755,361,3272,256
756,633,6740,512
757,380,3144,256
758,315,2804,256
759,233,1612,128
760,432,5212,512
761,276,2280,256
762,390,5204,512
763,415,3212,256
764,403,5404,512
765,527,7024,512
766,403,5156,512
767,366,5072,512
768,355,4824,512
769,355,2560,256
770,302,2980,256
771,419,4456,512
772,365,3364,256
773,472,5256,512
774,308,3272,256
775,421,5756,512
776,338,3380,256
777,231,2688,256
778,332,3004,256
779,605,6760,512
780,341,3224,256
781,501,6156,512
782,289,1724,128
783,291,2232,128
784,130,612,64
